,support,itemsets,length
67,0.004545454545454545,"frozenset({'g_high', 'dp_very_low', 'fro_very_low', 'd_low'})",4
68,0.006818181818181818,"frozenset({'g_high', 'dp_very_low', 'd_low', 'R3'})",4
69,0.0022727272727272726,"frozenset({'g_high', 'fre_very_low', 'dp_very_low', 'd_low'})",4
70,0.004545454545454545,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1'})",5
71,0.0022727272727272726,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'R3'})",5
72,0.0022727272727272726,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",6
73,0.006818181818181818,"frozenset({'dp_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",5
74,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'g_high'})",5
75,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'd_low', 'g_high', 'R3'})",5
76,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'd_low', 'g_high', 'CH1'})",5
77,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'R3'})",6
78,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1'})",6
79,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",6
80,0.0022727272727272726,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",7
81,0.1431818181818182,"frozenset({'d_low', 'CH1', 'R3'})",3
82,0.11136363636363636,"frozenset({'fre_very_low', 'CH1', 'd_low'})",3
83,0.075,"frozenset({'fre_very_low', 'd_low', 'CH1', 'R3'})",4
84,0.15681818181818183,"frozenset({'dp_very_low', 'CH1', 'd_low'})",3
85,0.11136363636363636,"frozenset({'dp_very_low', 'd_low', 'R3'})",3
86,0.08181818181818182,"frozenset({'fre_very_low', 'dp_very_low', 'd_low'})",3
87,0.06818181818181818,"frozenset({'dp_very_low', 'fro_very_low', 'd_low'})",3
88,0.10909090909090909,"frozenset({'dp_very_low', 'd_low', 'CH1', 'R3'})",4
89,0.07727272727272727,"frozenset({'dp_very_low', 'fre_very_low', 'CH1', 'd_low'})",4
90,0.05,"frozenset({'fre_very_low', 'd_low', 'dp_very_low', 'R3'})",4
91,0.05,"frozenset({'fre_very_low', 'dp_very_low', 'd_low', 'CH1', 'R3'})",5
92,0.0659090909090909,"frozenset({'fro_very_low', 'dp_very_low', 'CH1', 'd_low'})",4
93,0.04772727272727273,"frozenset({'dp_very_low', 'd_low', 'fro_very_low', 'R3'})",4
94,0.04090909090909091,"frozenset({'fro_very_low', 'fre_very_low', 'dp_very_low', 'd_low'})",4
95,0.045454545454545456,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'CH1', 'R3'})",5
96,0.04090909090909091,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'CH1'})",5
97,0.02727272727272727,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'R3'})",5
98,0.02727272727272727,"frozenset({'fre_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'CH1', 'R3'})",6
107,0.19772727272727272,"frozenset({'g_high', 'fro_very_low', 'CH2'})",3
108,0.175,"frozenset({'fro_very_low', 'R3', 'CH2'})",3
109,0.19545454545454546,"frozenset({'g_high', 'R3', 'CH2'})",3
110,0.1409090909090909,"frozenset({'g_high', 'fro_very_low', 'R3', 'CH2'})",4
111,0.10227272727272728,"frozenset({'d_low', 'R3', 'CH2'})",3
112,0.10227272727272728,"frozenset({'d_low', 'fro_very_low', 'CH2'})",3
113,0.10909090909090909,"frozenset({'g_high', 'd_low', 'CH2'})",3
114,0.09545454545454546,"frozenset({'fre_very_low', 'd_low', 'CH2'})",3
115,0.08409090909090909,"frozenset({'g_high', 'd_low', 'R3', 'CH2'})",4
116,0.07727272727272727,"frozenset({'d_low', 'fro_very_low', 'R3', 'CH2'})",4
117,0.08409090909090909,"frozenset({'g_high', 'd_low', 'fro_very_low', 'CH2'})",4
118,0.06136363636363636,"frozenset({'CH2', 'fro_very_low', 'd_low', 'g_high', 'R3'})",5
119,0.08409090909090909,"frozenset({'g_high', 'fre_very_low', 'd_low', 'CH2'})",4
120,0.07045454545454545,"frozenset({'fre_very_low', 'd_low', 'fro_very_low', 'CH2'})",4
121,0.07045454545454545,"frozenset({'fre_very_low', 'd_low', 'R3', 'CH2'})",4
122,0.0659090909090909,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'd_low', 'g_high'})",5
123,0.06363636363636363,"frozenset({'fre_very_low', 'CH2', 'd_low', 'g_high', 'R3'})",5
124,0.05227272727272727,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'd_low', 'R3'})",5
125,0.04772727272727273,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'd_low', 'g_high', 'R3'})",6
126,0.20454545454545456,"frozenset({'g_high', 'fre_very_low', 'CH2'})",3
127,0.17727272727272728,"frozenset({'fre_very_low', 'fro_very_low', 'CH2'})",3
128,0.16136363636363638,"frozenset({'fre_very_low', 'R3', 'CH2'})",3
129,0.16136363636363638,"frozenset({'g_high', 'fre_very_low', 'fro_very_low', 'CH2'})",4
130,0.1431818181818182,"frozenset({'g_high', 'fre_very_low', 'R3', 'CH2'})",4
131,0.12045454545454545,"frozenset({'fro_very_low', 'fre_very_low', 'R3', 'CH2'})",4
132,0.10909090909090909,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'g_high', 'R3'})",5
133,0.1,"frozenset({'d_very_low', 'fro_very_low', 'CH2'})",3
134,0.08863636363636364,"frozenset({'d_very_low', 'R3', 'CH2'})",3
135,0.1,"frozenset({'g_high', 'd_very_low', 'CH2'})",3
136,0.10227272727272728,"frozenset({'fre_very_low', 'd_very_low', 'CH2'})",3
137,0.08181818181818182,"frozenset({'fre_very_low', 'd_very_low', 'fro_very_low', 'CH2'})",4
138,0.07954545454545454,"frozenset({'g_high', 'd_very_low', 'fro_very_low', 'CH2'})",4
139,0.07045454545454545,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low'})",5
140,0.06818181818181818,"frozenset({'fro_very_low', 'd_very_low', 'R3', 'CH2'})",4
141,0.07045454545454545,"frozenset({'g_high', 'd_very_low', 'R3', 'CH2'})",4
142,0.0659090909090909,"frozenset({'fre_very_low', 'd_very_low', 'R3', 'CH2'})",4
143,0.05227272727272727,"frozenset({'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",5
144,0.056818181818181816,"frozenset({'fre_very_low', 'CH2', 'g_high', 'd_very_low', 'R3'})",5
145,0.05,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",5
146,0.04318181818181818,"frozenset({'fre_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",6
147,0.08636363636363636,"frozenset({'g_high', 'd_very_low', 'fre_very_low', 'CH2'})",4
148,0.011363636363636364,"frozenset({'dp_very_low', 'R3', 'CH2'})",3
149,0.00909090909090909,"frozenset({'d_very_low', 'dp_very_low', 'CH2'})",3
150,0.00909090909090909,"frozenset({'dp_very_low', 'fro_very_low', 'CH2'})",3
151,0.006818181818181818,"frozenset({'g_high', 'dp_very_low', 'CH2'})",3
152,0.00909090909090909,"frozenset({'fre_very_low', 'dp_very_low', 'CH2'})",3
153,0.006818181818181818,"frozenset({'dp_very_low', 'd_low', 'CH2'})",3
154,0.00909090909090909,"frozenset({'d_very_low', 'dp_very_low', 'R3', 'CH2'})",4
155,0.004545454545454545,"frozenset({'fre_very_low', 'd_very_low', 'dp_very_low', 'CH2'})",4
156,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'd_very_low', 'R3'})",5
157,0.00909090909090909,"frozenset({'fro_very_low', 'dp_very_low', 'R3', 'CH2'})",4
158,0.006818181818181818,"frozenset({'fro_very_low', 'd_very_low', 'dp_very_low', 'CH2'})",4
159,0.004545454545454545,"frozenset({'fro_very_low', 'fre_very_low', 'dp_very_low', 'CH2'})",4
160,0.006818181818181818,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",5
161,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'R3'})",5
162,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'd_very_low'})",5
163,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",6
164,0.006818181818181818,"frozenset({'g_high', 'd_very_low', 'dp_very_low', 'CH2'})",4
165,0.006818181818181818,"frozenset({'g_high', 'dp_very_low', 'R3', 'CH2'})",4
166,0.004545454545454545,"frozenset({'g_high', 'dp_very_low', 'fro_very_low', 'CH2'})",4
167,0.004545454545454545,"frozenset({'g_high', 'fre_very_low', 'dp_very_low', 'CH2'})",4
168,0.006818181818181818,"frozenset({'dp_very_low', 'CH2', 'g_high', 'd_very_low', 'R3'})",5
169,0.004545454545454545,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low'})",5
170,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'g_high', 'd_very_low'})",5
171,0.004545454545454545,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'R3'})",5
172,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'g_high', 'R3'})",5
173,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'g_high'})",5
174,0.004545454545454545,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",6
175,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'g_high', 'd_very_low', 'R3'})",6
176,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low'})",6
177,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'R3'})",6
178,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",7
179,0.004545454545454545,"frozenset({'fre_very_low', 'dp_very_low', 'R3', 'CH2'})",4
180,0.004545454545454545,"frozenset({'fre_very_low', 'd_low', 'dp_very_low', 'CH2'})",4
181,0.0022727272727272726,"frozenset({'dp_very_low', 'd_low', 'fro_very_low', 'CH2'})",4
182,0.0022727272727272726,"frozenset({'dp_very_low', 'd_low', 'R3', 'CH2'})",4
183,0.0022727272727272726,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'd_low', 'R3'})",5
184,0.006818181818181818,"frozenset({'m_very_low', 'd_very_low', 'CH2'})",3
185,0.006818181818181818,"frozenset({'m_very_low', 'fro_very_low', 'CH2'})",3
186,0.004545454545454545,"frozenset({'m_very_low', 'dp_very_low', 'CH2'})",3
187,0.004545454545454545,"frozenset({'m_very_low', 'R3', 'CH2'})",3
188,0.004545454545454545,"frozenset({'m_very_low', 'fre_very_low', 'CH2'})",3
189,0.0022727272727272726,"frozenset({'g_high', 'm_very_low', 'CH2'})",3
190,0.006818181818181818,"frozenset({'m_very_low', 'd_very_low', 'fro_very_low', 'CH2'})",4
191,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'fro_very_low', 'CH2'})",4
192,0.0022727272727272726,"frozenset({'m_very_low', 'd_very_low', 'dp_very_low', 'CH2'})",4
193,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'd_very_low'})",5
194,0.004545454545454545,"frozenset({'m_very_low', 'fro_very_low', 'R3', 'CH2'})",4
195,0.004545454545454545,"frozenset({'m_very_low', 'd_very_low', 'R3', 'CH2'})",4
196,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'R3', 'CH2'})",4
197,0.0022727272727272726,"frozenset({'m_very_low', 'fre_very_low', 'R3', 'CH2'})",4
198,0.004545454545454545,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",5
199,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'CH2', 'd_very_low', 'R3'})",5
200,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'R3'})",5
201,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",6
202,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'd_very_low', 'R3'})",5
203,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'R3'})",5
204,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'd_very_low', 'R3'})",6
205,0.004545454545454545,"frozenset({'m_very_low', 'fre_very_low', 'fro_very_low', 'CH2'})",4
206,0.004545454545454545,"frozenset({'m_very_low', 'fre_very_low', 'd_very_low', 'CH2'})",4
207,0.004545454545454545,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'd_very_low'})",5
208,0.0022727272727272726,"frozenset({'g_high', 'm_very_low', 'R3', 'CH2'})",4
209,0.0022727272727272726,"frozenset({'m_very_low', 'fre_very_low', 'g_high', 'CH2'})",4
210,0.0022727272727272726,"frozenset({'g_high', 'm_very_low', 'fro_very_low', 'CH2'})",4
211,0.0022727272727272726,"frozenset({'m_very_low', 'd_very_low', 'g_high', 'CH2'})",4
212,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'g_high', 'R3'})",5
213,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'g_high', 'R3'})",5
214,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'g_high', 'd_very_low', 'R3'})",5
215,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'g_high'})",5
216,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'g_high', 'd_very_low'})",5
217,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low'})",5
218,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'g_high', 'R3'})",6
219,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'g_high', 'd_very_low', 'R3'})",6
220,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",6
221,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low'})",6
222,0.0022727272727272726,"frozenset({'fre_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'g_high', 'd_very_low', 'R3'})",7
234,0.09090909090909091,"frozenset({'fre_low', 'fro_very_low', 'R3'})",3
235,0.05454545454545454,"frozenset({'fre_low', 'dp_very_low', 'fro_very_low'})",3
236,0.0659090909090909,"frozenset({'fro_very_low', 'fre_low', 'CH1'})",3
237,0.03636363636363636,"frozenset({'fre_low', 'dp_very_low', 'fro_very_low', 'R3'})",4
238,0.05227272727272727,"frozenset({'fro_very_low', 'fre_low', 'dp_very_low', 'CH1'})",4
239,0.03409090909090909,"frozenset({'dp_very_low', 'fro_very_low', 'fre_low', 'CH1', 'R3'})",5
240,0.045454545454545456,"frozenset({'fro_very_low', 'fre_low', 'CH1', 'R3'})",4
241,0.05909090909090909,"frozenset({'fre_low', 'R3', 'CH2'})",3
242,0.05,"frozenset({'fre_low', 'fro_very_low', 'CH2'})",3
243,0.022727272727272728,"frozenset({'fre_low', 'd_very_low', 'CH2'})",3
244,0.006818181818181818,"frozenset({'fre_low', 'dp_very_low', 'CH2'})",3
245,0.004545454545454545,"frozenset({'fre_low', 'm_very_low', 'CH2'})",3
246,0.0022727272727272726,"frozenset({'fre_low', 'g_low', 'CH2'})",3
247,0.045454545454545456,"frozenset({'fre_low', 'fro_very_low', 'R3', 'CH2'})",4
248,0.022727272727272728,"frozenset({'fre_low', 'd_very_low', 'R3', 'CH2'})",4
249,0.01818181818181818,"frozenset({'fre_low', 'd_very_low', 'fro_very_low', 'CH2'})",4
250,0.01818181818181818,"frozenset({'CH2', 'fro_very_low', 'fre_low', 'd_very_low', 'R3'})",5
251,0.004545454545454545,"frozenset({'fre_low', 'd_very_low', 'dp_very_low', 'CH2'})",4
252,0.004545454545454545,"frozenset({'fre_low', 'dp_very_low', 'R3', 'CH2'})",4
253,0.0022727272727272726,"frozenset({'fre_low', 'dp_very_low', 'fro_very_low', 'CH2'})",4
254,0.004545454545454545,"frozenset({'dp_very_low', 'CH2', 'fre_low', 'd_very_low', 'R3'})",5
255,0.0022727272727272726,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low'})",5
256,0.0022727272727272726,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'fre_low', 'R3'})",5
257,0.0022727272727272726,"frozenset({'dp_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low', 'R3'})",6
258,0.004545454545454545,"frozenset({'fre_low', 'm_very_low', 'dp_very_low', 'CH2'})",4
259,0.0022727272727272726,"frozenset({'m_very_low', 'fre_low', 'd_very_low', 'CH2'})",4
260,0.0022727272727272726,"frozenset({'fre_low', 'm_very_low', 'fro_very_low', 'CH2'})",4
261,0.0022727272727272726,"frozenset({'fre_low', 'm_very_low', 'R3', 'CH2'})",4
262,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'CH2', 'fre_low', 'd_very_low'})",5
263,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'CH2', 'fro_very_low', 'fre_low'})",5
264,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'CH2', 'fre_low', 'R3'})",5
265,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low'})",5
266,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fre_low', 'd_very_low', 'R3'})",5
267,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'fre_low', 'R3'})",5
268,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low'})",6
269,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fre_low', 'd_very_low', 'R3'})",6
270,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'fre_low', 'R3'})",6
271,0.0022727272727272726,"frozenset({'m_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low', 'R3'})",6
272,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'CH2', 'fro_very_low', 'fre_low', 'd_very_low', 'R3'})",7
273,0.0022727272727272726,"frozenset({'fre_low', 'm_very_low', 'g_low', 'CH2'})",4
274,0.0022727272727272726,"frozenset({'fre_low', 'dp_very_low', 'g_low', 'CH2'})",4
275,0.0022727272727272726,"frozenset({'m_very_low', 'dp_very_low', 'g_low', 'CH2', 'fre_low'})",5
276,0.05,"frozenset({'fre_low', 'd_low', 'R3'})",3
277,0.03409090909090909,"frozenset({'fre_low', 'fro_very_low', 'd_low'})",3
278,0.025,"frozenset({'fre_low', 'd_low', 'CH2'})",3
279,0.04090909090909091,"frozenset({'fre_low', 'CH1', 'd_low'})",3
280,0.03636363636363636,"frozenset({'fre_low', 'dp_very_low', 'd_low'})",3
281,0.01818181818181818,"frozenset({'fre_low', 'm_very_low', 'd_low'})",3
282,0.01818181818181818,"frozenset({'fre_low', 'd_low', 'g_low'})",3
283,0.025,"frozenset({'fre_low', 'd_low', 'fro_very_low', 'R3'})",4
284,0.011363636363636364,"frozenset({'fre_low', 'dp_very_low', 'fro_very_low', 'd_low'})",4
285,0.011363636363636364,"frozenset({'fro_very_low', 'fre_low', 'CH1', 'd_low'})",4
286,0.006818181818181818,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",5
287,0.011363636363636364,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1'})",5
288,0.006818181818181818,"frozenset({'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",5
289,0.006818181818181818,"frozenset({'dp_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",6
290,0.022727272727272728,"frozenset({'fre_low', 'd_low', 'fro_very_low', 'CH2'})",4
291,0.020454545454545454,"frozenset({'fre_low', 'd_low', 'R3', 'CH2'})",4
292,0.01818181818181818,"frozenset({'CH2', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",5
293,0.029545454545454545,"frozenset({'fre_low', 'd_low', 'CH1', 'R3'})",4
294,0.03636363636363636,"frozenset({'fre_low', 'dp_very_low', 'CH1', 'd_low'})",4
295,0.025,"frozenset({'fre_low', 'dp_very_low', 'd_low', 'R3'})",4
296,0.025,"frozenset({'dp_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",5
297,0.01818181818181818,"frozenset({'fre_low', 'm_very_low', 'dp_very_low', 'd_low'})",4
298,0.01818181818181818,"frozenset({'fre_low', 'm_very_low', 'CH1', 'd_low'})",4
299,0.013636363636363636,"frozenset({'fre_low', 'm_very_low', 'd_low', 'R3'})",4
300,0.00909090909090909,"frozenset({'fre_low', 'm_very_low', 'fro_very_low', 'd_low'})",4
301,0.006818181818181818,"frozenset({'fre_low', 'm_very_low', 'd_low', 'g_low'})",4
302,0.01818181818181818,"frozenset({'m_very_low', 'dp_very_low', 'd_low', 'fre_low', 'CH1'})",5
303,0.013636363636363636,"frozenset({'m_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",5
304,0.013636363636363636,"frozenset({'m_very_low', 'dp_very_low', 'd_low', 'fre_low', 'R3'})",5
305,0.013636363636363636,"frozenset({'dp_very_low', 'm_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",6
306,0.00909090909090909,"frozenset({'m_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1'})",5
307,0.00909090909090909,"frozenset({'m_very_low', 'dp_very_low', 'fro_very_low', 'd_low', 'fre_low'})",5
308,0.006818181818181818,"frozenset({'m_very_low', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",5
309,0.00909090909090909,"frozenset({'dp_very_low', 'm_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1'})",6
310,0.006818181818181818,"frozenset({'m_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",6
311,0.006818181818181818,"frozenset({'dp_very_low', 'm_very_low', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",6
312,0.006818181818181818,"frozenset({'dp_very_low', 'm_very_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",7
313,0.006818181818181818,"frozenset({'m_very_low', 'g_low', 'd_low', 'fre_low', 'CH1'})",5
314,0.006818181818181818,"frozenset({'m_very_low', 'dp_very_low', 'g_low', 'd_low', 'fre_low'})",5
315,0.004545454545454545,"frozenset({'m_very_low', 'g_low', 'd_low', 'fre_low', 'R3'})",5
316,0.0022727272727272726,"frozenset({'m_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low'})",5
317,0.006818181818181818,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'd_low', 'fre_low', 'CH1'})",6
318,0.004545454545454545,"frozenset({'m_very_low', 'g_low', 'd_low', 'fre_low', 'CH1', 'R3'})",6
319,0.0022727272727272726,"frozenset({'m_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1'})",6
320,0.004545454545454545,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'd_low', 'fre_low', 'R3'})",6
321,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low'})",6
322,0.0022727272727272726,"frozenset({'m_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",6
323,0.004545454545454545,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'd_low', 'fre_low', 'CH1', 'R3'})",7
324,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1'})",7
325,0.0022727272727272726,"frozenset({'m_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",7
326,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'R3'})",7
327,0.0022727272727272726,"frozenset({'dp_very_low', 'm_very_low', 'g_low', 'fro_very_low', 'd_low', 'fre_low', 'CH1', 'R3'})",8
